,用户id,用户昵称,点赞数,评论数,时间戳,评论内容
0,1814296949,ListentoWaves,22491,426,1704074297291,上春晚的应该是这种歌，而不是科目三🌚
1,35119328,JannikMusic,21663,1041,1703953218749,深感荣幸能参与周深老师的这首改编作品，跟团队中如此专业的前辈们合作令我诚惶诚恐，万分感谢前辈们给我的机会，我也从中学到了很多知识与经验，由衷希望大家可以喜欢这首歌曲！为周深老师和团队中的各位前辈老师们打Call！[爱心]
2,44352346,唐思淼淼淼淼,13394,352,1703986691109,千言万语就剩一句话：希望大家喜欢这首歌，多支持这首歌！！！😭
3,554491537,宇宙无敌超级牛的说唱歌手,12664,266,1703952165952,目前为止，新生代歌手里面他就是王者。。迅速攀升。。。实力很强，很强。驾驭了很多风格。会7国语言。情商高的很。。以后的歌手里面他绝对有一个很高的位置。
4,484003562,CAT先森_,7694,63,1703952061751,"我们都知道这首歌是纯音乐改编的，原曲其实就很震撼了，因为很多的人都用他剪辑过视频什么的。

周深所唱的歌词版浮光更让人震撼，尤其是周深的音色还有他本人唱歌时的情感搭配着这首歌，更让人觉得神圣，仿佛眼前有光芒，照耀着这个世间。"
5,8388653340,祁连Eileen,6744,39,1703952018543,浮光这首曲子是我最喜欢的曲子之一，从这首曲子里我听到了光影在空中不断浮动，听到了潺潺流水，听到了流水上的轻舟已过万重山，听到了柳暗花明。终于，我最爱的歌手唱了我爱的曲子！双厨狂喜！周深的经历也是轻舟已过万重山的写照！“你的身后拥故事成篇”“与你同写，沧海桑田”
6,1378221162,KID_Summer,6610,33,1703952477651,怎么真的有人能把这个BGM唱出来，周深，有点太强悍了
7,344626672,在下河帛,5469,132,1703997979397,荣幸参与洞箫实录~ 
8,7946015315,筌桅,5268,71,1703996177269,怎么说呢？就像是用耳朵听到了丁达尔效应
9,269972636,曾吴秋杰,4941,153,1704003963968,很开心能参与这首歌的编曲和制作～太好听啦！！！
10,290768904,西瓜才是力量,4537,47,1704335371482,这歌好适合上春晚，今年逃出大英博物馆大出圈，感觉可以整个古文物保护的歌舞节目。浮光细碎，古音悠悠，缓缓淌过了历史长河，而文物与你我皆是洪流中的见证者
11,9045894717,乌拉尔的枳,4483,98,1703952164582,我在现场，现场真的巨好听！我哭死，现场都听懵了，高潮就是中国历史扑面而来，那十几秒我感觉从夏到盛唐，历史铺面而来穿过我奔向未来。太盛大了，现场我差点哭出来[多多大哭][多多大哭][多多大哭][多多大哭]
12,332995768,敬名凡茜,4415,10,1704102227419,"听之前：这么经典的纯音乐能怎么改编成人声版的？
听之后：绝了😭😭😭"
13,96735790,娘青,3962,65,1703954744346,所有去了b站跨年的朋友们都说这首歌现场版比录音版本还要神性无数遍，副歌一起人类就会落泪的那种神性……我要嫉妒得眼睛出血了[流泪][流泪][流泪]
14,569813978,Bbly-k,3455,0,1704165212039,文化的确是多元的也是包容的，但是要让其中一种成为主流文化，广泛传播，我希望是优美的旋律而不是科目三
