,用户id,用户昵称,点赞数,评论数,时间戳,评论内容
0,3720136813,Urrsula,0,0,1697197024772,我也
1,1398313917,我要听十个,0,0,1686848021019,郭金发亦是翻唱，原唱为张邱东松。
2,122788207,唐僧僧僧西安记,0,0,1671706952161,不知道台湾的烧肉粽和嘉兴的有哪许差别
3,254408657,笑横野,1,0,1653280540215,我也是
4,104704273,ssssfddddfgvbbcdd,1,0,1646110317122,我也是
5,395366893,瑞特巴特勒先生,9,3,1642416996037,看李安的书过来听的
6,3980539924,爱听老歌的一个我,0,0,1641735238150,不是蔡琴 我都不知道这歌还有第四段 
7,436206737,H嚯嚯_,2,0,1633699538350,"盛夏蝉鸣依旧，栀子花开轻嗅。
年少课间时，步履钟声相扣。
疾走，疾走，已是白云苍狗。"
8,490339164,别别襒,2,0,1627717247030,在下各位是 被妈妈被迫点歌吧
9,1467569204,风往前尘,0,0,1614692374267,是
10,3980539924,爱听老歌的一个我,2,1,1606313618499,郭金发的歌 好像是卖粽子的时候创作的歌吧 邓丽君最早翻唱的貌似 有错误请指正 
11,436206737,H嚯嚯_,3,0,1592112090529,1、2、3、4自卑自叹歹命人
12,331796127,crushJJJ,0,0,1584974225368,听不懂也好听[开心]
13,404199470,scarc,0,0,1576053553917,是三个，没猜错你说的应该是梅花三姐妹
14,64598574,原地打转的陈小丑,28,0,1563033796368,"李安说“当年我就很怕自己像闽南语歌《烧肉粽》歌词里所唱的：""自悲自叹歹命人，父母本来真疼惜，让我读过几年书，毕业之后头路无，暂时来卖烧肉粽……""自怨自艾，久而久之竟不知不觉地就叫卖了一辈子的""来呷烧肉粽""。"
15,74136666,蟹子茶,0,0,1561789872837,初中的时候合唱队的唱的歌
16,108341388,龐漢榮,0,0,1560164766923,梁永斌，聽得到夏日色彩，我的黑膠時代。。。
17,279538755,草莓牌杂货店,2,1,1559827149149,这是闽南语吗？
18,1663335246,请叫我小芳同学,0,0,1559532053412,福建人，不是二爷唱都不知道这个歌[呲牙]
19,389782001,天则轩主人,2,0,1559411619180,我是听张云雷唱后来的
20,1780033014,郭德纲的锅Y,4,0,1557671419314,邓丽君的超好听
21,1305523520,樂1001,2,0,1556178111806,胡(福)建
22,423417733,聆听风声_水坡,1,0,1554804437896,这么好听，又这么正能量的歌。
23,58694080,Joneah,2,0,1554039773948,呜呜我爱吃肉粽
24,1760714295,于适的小鱼儿y,26,0,1553773293366,很久没听的老歌了，作为闽南人觉得二爷唱得真好
25,441296348,草莓QQ跳跳糖,1,0,1553662240096,肉粽真的好吃！
26,441296348,草莓QQ跳跳糖,1,0,1553662230690,"这调调好棒
爱了爱了"
27,439715700,晓井well,0,0,1553076621617,闽南语哦
28,1320519439,mly炫光,0,1,1552984287382,这是粤语歌吗，这个发音好难学啊
29,497908962,chyiboov,0,0,1552452314715,是张菲和费玉清的夹克与飞鸟
30,544076167,云村李知恩,2,0,1552139302171,是啊，我也很怀旧。在记忆中拾取那些本没人在乎的碎片，不是拾荒者又是什么呢
31,1461680213,李瑶瑶瑶切克闹,2,0,1551589900146,网易吞评论？
32,305700572,落樱酒诗,5,0,1496127143673,今天是听这歌的好日子
33,50220071,fumes_,3,0,1494002300314,今天刚吃了两个肉粽耶
34,40012112,流浪在旅行路上,3,0,1483108892146,小时候听的小孩版的，好怀恋[流泪]
35,83588056,小时候的闽南歌,2,0,1467373537219,头家，烧肉粽袂买无
36,75741234,用户75741234,1,0,1465117982437,老爹从小给我唱的啊
37,75741234,用户75741234,1,0,1465117972467,真的是乡音啊
38,75741234,用户75741234,7,1,1465117958903,怀旧的人活得像一个拾荒者
39,44598612,_天邊-,4,1,1463236088491,杰克和肥鸟
40,39217537,Lovedocomo,3,0,1439722617681,顶到99+
41,2805633,瓜瓜呱呱说不要西瓜,0,0,1426340236539,更深风冷脚手冻 谁人知阮的苦痛
42,34151399,譜序,0,0,1426339898437,晓吧砸！
43,1193934,-宛風,0,0,1406146734333,[呆]好餓
